Ligue,Poule,Pseudo,Pseudo Discord,Faction,Format,Nombre d'activation,Nombre de points,Lien Armée,Lien Armée 2,SoS,sumKP,sumPV,playerPlayed,victory,defeat,egality,nbMatchPlayed,points,pointsSeparation
Alderaan,D,Carey,Carey#9916,,,,,"https://legionhq.thefifthtrooper.com/list/empire/tf:1we,2bggofjfh0hz,3ba0dh00le,1ay0fa00,,,,,,,Ol,Oc,Om,Of,Dl,De,Dk,Dd,Ca,Cb,Cf,Ch",,0,358,2,Ximatique#8020,1,0,0,1,3,3
Alderaan,D,Maxx,Ximatique#8020,,,,,"https://legionhq.thefifthtrooper.com/list/separatists/1nrcw00,1utdtpqpsjb,1kxlidhdp0ll0,2gakpmq0,2gx0000,1gx0og00,1pxqd0000,,,,,,,Oa,Od,Of,Og,Db,De,Dl,Dm,Cc,Cf,Cg,Ca",,3,159,2,Carey#9916,0,1,0,1,0,0
Alderaan,D,Con_sans_gains,Con_sans_gains#5870,,,,,"https://legionhq.thefifthtrooper.com/list/republic/1olpqdtnd0,1nadtdvnedf,2gyix000,1gy0uf00,1kylh00000,2ic00,,,,,,,Og,Ol,Om,Of,Db,Dl,Dm,Dc,Cc,Cf,Ca,Cb",,0,0,0,,0,0,0,0,0,0
Alderaan,D,Frandell,Frandell (François D.) 🇫🇷 #4632,,,,,"https://legionhq.thefifthtrooper.com/list/empire/tf:1we,1bggofh00hz,3bf0,1ba00sf00,1ba0dhsf00,2ay0fa00,,,,,,,Oa,Ol,Om,Oc,Dd,Dk,Dc,De,Cd,Ch,Ca,Ce",,0,0,0,,0,0,0,0,0,0
