Ligue,Poule,Pseudo,Pseudo Discord,Faction,Format,Nombre d'activation,Nombre de points,Lien Armée,Lien Armée 2,SoS,sumKP,sumPV,playerPlayed,victory,defeat,egality,nbMatchPlayed,points,pointsSeparation
Alderaan,A,Weezard,weedartwork#4342,,,,,"https://legionhq.thefifthtrooper.com/list/rebels/1bi00,1tl0ne0uh,1vddtpqne0,3gvig0000,3if0,2aleg0000,,,,,,,Ob,Od,Oc,Om,Dk,Dd,De,Da,Ca,Cf,Cg,Cd",,0,408,6,"Ju STW #9349,Uerki#6588",2,0,0,2,6,6
Alderaan,A,Uerki,Uerki#6588,,,,,"https://legionhq.thefifthtrooper.com/list/republic/1nanddvmsru,1ns000,2gyixoc00,1gy0uf00,1kzlhli0000,2kzlfli0000,,,,,,,Of,Od,Oc,Ob,Da,De,Dl,Dm,Cb,Cf,Cg,Ch",,3,526,2,weedartwork#4342,0,1,0,1,0,0
Alderaan,A,Ju_STW,Ju STW #9349,,,,,"https://legionhq.thefifthtrooper.com/list/rebels/1accwruro,1tl00uhro,3ah0et00,3aofe0,1aqovgrozhaot,1aqovgrozha0,,,,,,,Oa,Oc,Ol,Om,Dc,Dk,Dl,De,Cc,Ce,Cf,Cg",,3,112,0,weedartwork#4342,0,1,0,1,0,0
Alderaan,A,Mamatt76,Mamatt76#5072,,,,,"https://legionhq.thefifthtrooper.com/list/separatists/1iaikcyruil,2pxqdjbdfdm0,1gxjwogdm0,4gxjwof00,,,,,,,Oa,Om,Oc,Ob,De,Dk,Dl,Da,Cc,Cf,Cg,Ca",,0,0,0,,0,0,0,0,0,0
