Ligue,Poule,Pseudo,Pseudo Discord,Faction,Format,Nombre d'activation,Nombre de points,Lien Armée,Lien Armée 2,SoS,sumKP,sumPV,playerPlayed,victory,defeat,egality,nbMatchPlayed,points,pointsSeparation
Tatooine,B,eljourneyman,journeyman8881,,,,,"https://legionhq.thefifthtrooper.com/list/rebels/1accwru0,1afpt00,1vdpqdtpsne,2he00,1sq0,2ah0000,1ah0eu00,,,,,,,Og,Ol,Om,Ob,Da,Dc,Dl,Dm,Cc,Ch,Ce,Cd",,1.5,224,3,ealthril#9436,1,0,0,1,3,4
Tatooine,B,Ealthril,ealthril#9436,,,,,"https://legionhq.thefifthtrooper.com/list/rebels/1kf0jbdakh_0000,1lv0lu,1apfkfg0,1ap0fg0,2ah0000,2ah0et00,1mlmpmo000mm0,1mk0000mm0,,,,,,,Oa,Ob,Om,Oc,Db,Dd,Dk,De,Ca,Cc,Cd,Cf",,1.5,1086,5,"journeyman8881,ARC N7 #0314",1,1,0,2,3,3
Tatooine,B,ARC-N7,ARC N7 #0314,,,,,"https://legionhq.thefifthtrooper.com/list/rebels/1vddudtdfli,1agrugkiheb,1ah0000,1gv00000,1mlmpmo000mm0,1if0,1omiioxpa00,1omoqoxpa00,,,,,,,Od,Of,Og,Om,Db,Dk,Dc,Dd,Cc,Ca,Cd,Ch",,1.5,178,0,ealthril#9436,0,1,0,1,0,0
Tatooine,B,Murmure,Murmure#0173,,,,,"https://legionhq.thefifthtrooper.com/list/fringe/sc:1ax00dc,1kxliru00ll0,1rcdydt0ms0,2rbrmrl0dj,1smso0000,1sm0pa000,,,,,,,Od,Of,Og,Om,Db,Dc,Dk,Dl,Cc,Cd,Ch,Cb",,0.0,0,0,,0,0,0,0,0,0
