Ligue,Poule,Pseudo,Pseudo Discord,Faction,Format,Nombre d'activation,Nombre de points,Lien Armée,Lien Armée 2,SoS,sumKP,sumPV,playerPlayed,victory,defeat,egality,nbMatchPlayed,points,pointsSeparation
Coruscant,C,Safsouf,Safsouf#6951,,,,,"https://legionhq.thefifthtrooper.com/list/empire/1nmrf00np,1awnedg0uhda,1kxdhlidp0ll0,1hgfuez000,1hgfuew000,2ft0,3bbem0000,,,,,,,Ob,Oc,Od,Of,Da,Dd,Dk,De,Ca,Cf,Cg,Cd",,0,0,0,,0,0,0,0,0,0
Coruscant,C,Daedry,daedry#6021,,,,,"https://legionhq.thefifthtrooper.com/list/fringe/sc:1rcdtdy0dfrq,4rbrmrlda0,1rbrm000,1sm00ox00,1rbrm00dj,,,,,,,Oa,Ob,Ol,Og,Dl,Da,Dm,De,Cc,Ce,Cf,Cg",,0,0,0,,0,0,0,0,0,0
Coruscant,C,Tig-tar,Tig’tar#0303,,,,,"https://legionhq.thefifthtrooper.com/list/rebels/1acrfru0,1vedflivp,3ah0et00,1aqovgrozhaot,1aqovgrozha0,3aofe0,2vu000,,,,,,,Oa,Ol,Om,Oc,Dc,Dl,Dm,Dk,Cc,Cg,Ce,Cf",,0,0,0,,0,0,0,0,0,0
Coruscant,C,Allumette,allumette#2683,,,,,"https://legionhq.thefifthtrooper.com/list/republic/1gwdtpqnzdf,1nadtdvpsne,1jhdp,3gy0oc00,2gyiv000,,,,,,,Og,Om,Od,Ol,De,Dl,Dm,Db,Cc,Cg,Cf,Ca",,0,0,0,,0,0,0,0,0,0
