Ligue,Poule,Pseudo,Pseudo Discord,Faction,Format,Nombre d'activation,Nombre de points,Lien Armée,Lien Armée 2,SoS,sumKP,sumPV,playerPlayed,victory,defeat,egality,nbMatchPlayed,points,pointsSeparation
Alderaan,C,Valefor,Valefor#8337,,,,,"https://legionhq.thefifthtrooper.com/list/empire/tf:1ar00,1ay0000,1ba00000,3baem0000,1bf0,2bfhz,1we,,,,,,,Oa,Oc,Ol,Of,Dd,De,Dk,Dc,Cb,Cd,Ch,Ca",,0.5,1405,6,"Douggy Bag #3282,Enguerrand le conquérant #7482,martin#6197",3,0,0,3,9,9
Alderaan,C,Engue,Enguerrand le conquérant #7482,,,,,"https://legionhq.thefifthtrooper.com/list/empire/1nmcw00np,1arrfhy,1awdg00dadb,1tidg00,1hgfufa0dc0,1hgfuez0dc0,2ft0,2bbem0000,,,,,,,Ob,Od,Om,Oc,Da,Dd,De,Dc,Cf,Cg,Ca,Cd",,1.5,740,10,"Valefor#8337,Douggy Bag #3282",1,1,0,2,3,3
Alderaan,C,Nosho7,martin#6197,,,,,"https://legionhq.thefifthtrooper.com/list/rebels/1gv0et0da0,1gvig00da0,1gviget0da0,3if0,2he00,1apovfg0,1apfkfg0,,,,,,,Oa,Oc,Ol,Om,Dc,Dl,Db,Da,Cf,Ce,Cb,Cg",,3.0,193,0,Valefor#8337,0,1,0,1,0,0
Alderaan,C,DouggyBag,Douggy Bag #3282,,,,,"https://legionhq.thefifthtrooper.com/list/rebels/1kfdh00kh_0000,1bicw0,1tl000uh,1lv0lu,2ah0eu00,1ah0000,3mkmn000mm0,,,,,,,Oa,Ol,Od,Of,Da,De,Dk,Db,Ca,Cf,Cg,Cb",,2.25,499,7,"Valefor#8337,Enguerrand le conquérant #7482",0,2,0,2,0,0
