Ligue,Poule,Pseudo,Pseudo Discord,Faction,Format,Nombre d'activation,Nombre de points,Lien Armée,Lien Armée 2,SoS,sumKP,sumPV,playerPlayed,victory,defeat,egality,nbMatchPlayed,points,pointsSeparation
Kessel,A,ElChacal,.elchacal.,,,,,"https://legionhq.thefifthtrooper.com/list/rebels/1kfdggj0kh_0000,1ae0dhrodz,1lv0lu,4gvig0000,2if0,3aleg0000,,,,,,,Oc,Od,Of,Og,Da,Db,Dd,De,Ca,Cd,Cf,Cg",,0,747,9,"karoubo,caradan_,Vasperead (Julien)#3647",3,0,0,3,9,9
Kessel,A,Vasperead,Vasperead (Julien)#3647,,,,,"https://legionhq.thefifthtrooper.com/list/rebels/1kfdh00kh_0000,1vddtdupsms,1agliih00,2gvig0000,2if0,1ah0eu00,1mlmpmoli0000,,,,,,,Od,Og,Ol,Oc,Da,Dd,De,Dm,Ca,Cg,Ce,Cf",,3,186,2,.elchacal.,0,1,0,1,0,0
Kessel,A,Karoubo,karoubo,,,,,"https://legionhq.thefifthtrooper.com/list/republic/1mbfchz,1mbfedp,2gyhp000,1gylg000,2fzkdoc000,1nsnz00,1ueik00,,,,,,,Of,Oc,Og,Ob,Dd,De,Da,Dk,Ca,Cd,Cf,Cg",,3,0,4,.elchacal.,0,1,0,1,0,0
Kessel,A,Caradan,caradan_,,,,,"https://legionhq.thefifthtrooper.com/list/separatists/1nr000,1kxdhlidp0ll0,2gakpmq0,2gxhr000,2gxiw000,1pxqd0000,1pxqc0000,,,,,,,Ob,Oc,Od,Og,Da,De,Dk,Db,Cg,Cf,Ca,Cc",,3,0,1,.elchacal.,0,1,0,1,0,0
