Ligue,Poule,Pseudo,Pseudo Discord,Faction,Format,Nombre d'activation,Nombre de points,Lien Armée,Lien Armée 2,SoS,sumKP,sumPV,playerPlayed,victory,defeat,egality,nbMatchPlayed,points,pointsSeparation
Coruscant,D,Raphanduril,Raphanduril#3524,,,,,"https://legionhq.thefifthtrooper.com/list/rebels/1binzmr,1vddtdudfps,1afpt00,1gvig0li00,1gvigeuli00,2if0,2akeg0000,1aleg0000,,,,,,,Ob,Of,Oc,Od,Dd,De,Dk,Da,Cf,Cg,Cb,Ca",,0,622,4,Capitaine Banane #5162,1,0,0,1,3,3
Coruscant,D,capitainebanane,Capitaine Banane #5162,,,,,"https://legionhq.thefifthtrooper.com/list/empire/tf:1we,1bggofjfh0hz,1arcw0,1ay0fa00,3ba00sf00,2bf0,,,,,,,Om,Of,Oc,Od,Dk,Dl,Dd,De,Ca,Cb,Cg,Ch",,3,462,4,Raphanduril#3524,0,1,0,1,0,0
Coruscant,D,Kintara,Kintara#1516,,,,,"https://legionhq.thefifthtrooper.com/list/separatists/1qanz0000,4gakpmq0,2rbrmrldadj,1pxqd0000,,,,,,,Oa,Ob,Og,Om,Da,De,Dl,Dm,Cc,Ce,Cf,Cg",,0,0,0,,0,0,0,0,0,0
Coruscant,D,VuaRapuung,vuarapuung 🇫🇷 #3957,,,,,"https://legionhq.thefifthtrooper.com/list/empire/1asdxpqdtcw,1kgli00ki_gj00lx,1tk00dptqtrto,1az0000,2ay0000,1mymfme0li000,2bbem0000,,,,,,,Od,Og,Ob,Oc,Da,Dl,De,Dd,Ca,Cg,Cb,Ch",,0,0,0,,0,0,0,0,0,0
