Ligue,Poule,Pseudo,Pseudo Discord,Faction,Format,Nombre d'activation,Nombre de points,Lien Armée,Lien Armée 2,SoS,sumKP,sumPV,playerPlayed,victory,defeat,egality,nbMatchPlayed,points,pointsSeparation
Tatooine,A,Kaiko,Kaiko#6739,,,,,"https://legionhq.thefifthtrooper.com/list/empire/1kg000ki_0000,1ar0hy,1fndvdtli0,1az0000,2ayek000,1mymfme00000,2bcel0000,,,,,,,Ob,Of,Og,Oc,Da,Dd,De,Dk,Cb,Cf,Ch,Cg",,0,795,3,Pask#7707,1,0,0,1,3,3
Tatooine,A,Elitank,elitank,,,,,"https://legionhq.thefifthtrooper.com/list/separatists/1nr000,5gx0000,1kxdhlidp0ll0,1utdsdtpsdf,2mchz,1mcdm,,,,,,,Ob,Od,Of,Oa,Db,Dc,De,Dm,Cg,Cc,Cb,Ch",,0,364,3,Pask#7707,1,0,0,1,3,3
Tatooine,A,Umibozu,Pask#7707,,,,,"https://legionhq.thefifthtrooper.com/list/separatists/1pycx000,1utdtpqdg0,1gxhr000,4gakpmq0,1qkqnqqhz,,,,,,,Oa,Og,Om,Od,Dk,Dl,Dm,De,Cf,Cg,Ch,Cb",,3,409,0,"elitank,Kaiko#6739",0,2,0,2,0,0
Tatooine,A,Moonglum,Moonglum#7998,,,,,"https://legionhq.thefifthtrooper.com/list/separatists/2pxqd00do0,3gx0000,1gx00do0,1nr000,1fxdunddt0,2qkqlqr0,,,,,,,Ob,Oc,Od,Og,Db,Dd,De,Dk,Cb,Cc,Ch,Cf",,0,0,0,,0,0,0,0,0,0
