Ligue,Poule,Pseudo,Pseudo Discord,Faction,Format,Nombre d'activation,Nombre de points,Lien Armée,Lien Armée 2,SoS,sumKP,sumPV,playerPlayed,victory,defeat,egality,nbMatchPlayed,points,pointsSeparation
Tatooine,D,Loumice,Sebastien#8947,,,,,"https://legionhq.thefifthtrooper.com/list/separatists/1qa0000hy,2gxiw000,1gxiwof00,1gx0of00,1lbld0000,1lbld0dp00,1gc000hz,1gc0000,,,,,,,Oc,Om,Ob,Oa,Db,Dd,De,Dm,Ca,Cf,Cb,Ch",,0,0,0,,0,0,0,0,0,0
Tatooine,D,SunHunter,Vlad#4309,,,,,"https://legionhq.thefifthtrooper.com/list/separatists/1nr000,1kxdhlidp0llib,1nbdvdtrups,1gx0of00,1gx0og00,1gakeio0,1nk0,1pxqcpsli00,1pxqcps000,,,,,,,Od,Og,Of,Om,Dc,Da,Dl,Dm,Cc,Ch,Cg,Cd",,0,0,0,,0,0,0,0,0,0
Tatooine,D,Romainswl,Romainswl#1082,,,,,"https://legionhq.thefifthtrooper.com/list/separatists/1utpqdt0ps,1kxdhlidp0ll0,1nrcw00,1pxqd0ps00,2gx0og00,4gxiw000,,,,,,,Ob,Od,Om,Og,Dl,Dk,De,Dd,Cc,Cb,Cg,Cf",,0,0,0,,0,0,0,0,0,0
Tatooine,D,LeSultan,sultan93_,,,,,"https://legionhq.thefifthtrooper.com/list/empire/1ui0ik00uj,2hgfuew000,2ft0,1az0ez00,2bbem0000,1bc0pt000,1tm0uo0us,,,,,,,Oc,Of,Ob,Om,Da,De,Dk,Dd,Ca,Cf,Cg,Cb",,0,0,0,,0,0,0,0,0,0
