Ligue,Poule,Pseudo,Pseudo Discord,Faction,Format,Nombre d'activation,Nombre de points,Lien Armée,Lien Armée 2,SoS,sumKP,sumPV,playerPlayed,victory,defeat,egality,nbMatchPlayed,points,pointsSeparation
Kessel,B,Zam,zam2031,,,,,"https://legionhq.thefifthtrooper.com/list/republic/1ueik00,1ns000,1gylgoc00,1gyix0da0,1fz0uf000,1fzkd00da0,1kzlf00000,1kylh00000,1qsquqxhz,,,,,,,Oc,Of,Ob,Om,Db,Dd,Dl,Dk,Ca,Cf,Cg,Cb",,1.33,1913,11,"sodarck,sodarck,flo_gobs",3,0,0,3,9,9
Kessel,B,Sodarck,sodarck,,,,,"https://legionhq.thefifthtrooper.com/list/republic/1ue000,1nadtndms0,1gy0000,1gyix000,1gyixuf00,2qzrgrj00,1kylh00000,1ic0dp,,,,,,,Ob,Oc,Om,Og,Dd,De,Dk,Da,Ca,Cg,Cf,Cd",,1.75,1460,10,"zam2031,zam2031,flo_gobs,nash_2715",2,2,0,4,6,6
Kessel,B,Guaryn,flo_gobs,,,,,"https://legionhq.thefifthtrooper.com/list/fringe/sc:1qynzmr,1qycwmr,3qzrg0da0,1rbrmrldadj,1rbrmrl0dj,3sq0,1smso0000,,,,,,,Oa,Of,Od,Ol,Dc,De,Dl,Da,Cb,Ce,Cf,Ch",,1.5,898,10,"nash_2715,sodarck,zam2031",1,2,0,3,3,3
Kessel,B,Nash,nash_2715,,,,,"https://legionhq.thefifthtrooper.com/list/rebels/1vddthxms0,1apfkfg0,1ab000,2aieievdc0,1aieietdc0,1om0oyoxou0,1aofe0,,,,,,,Ob,Oc,Of,Od,Dc,De,Dk,Dm,Cb,Cc,Cf,Cg",,1.25,255,3,"flo_gobs,sodarck",0,2,0,2,0,0
