Ligue,Poule,Pseudo,Pseudo Discord,Faction,Format,Nombre d'activation,Nombre de points,Lien Armée,Lien Armée 2,SoS,sumKP,sumPV,playerPlayed,victory,defeat,egality,nbMatchPlayed,points,pointsSeparation
Tatooine,C,ChadBane,bapjeri#1517,,,,,"https://legionhq.thefifthtrooper.com/list/fringe/sc:1qy00,1kxdhru0000,1qzrg0dc0,2qzrgrjdc0,1rbrnrldcdj,2sq0,1smowpaoyouhz,,,,,,,Oa,Ob,Oc,Ol,Da,Dc,Dl,Dm,Cb,Cc,Ch,Ca",,0,1600,15,"Khamal#5554,david27930#0697",2,0,0,2,6,6
Tatooine,C,Inossatam,inossatam,,,,,"https://legionhq.thefifthtrooper.com/list/republic/5l:1fyik0dalk0,1ns000,1fzlg0000,2fzkooc0da0,1fzkd0000,1kzlf00da00,1kylh00000,1mbfe0,,,,,,,Ob,Og,Of,Om,Db,Dl,Da,De,Cg,Ch,Cf,Ca",,0,152,4,david27930#0697,1,0,0,1,3,3
Tatooine,C,David27,david27930#0697,,,,,"https://legionhq.thefifthtrooper.com/list/separatists/si:1iacy0ruil,2gciqknku0,4gx0000,1gx00jk0,1gx00dm0,,,,,,,Ob,Oc,Of,Om,Dl,Dk,Dd,Db,Ca,Cd,Cf,Cc",,3,585,3,"inossatam,bapjeri#1517",0,2,0,2,0,0
Tatooine,C,Khamal,Khamal#5554,,,,,"https://legionhq.thefifthtrooper.com/list/republic/1nadtdvrudi,1ns000,2fzkdoc000,2ic00,1kzlf000dc0,1gyix0da0,1kylh00000,,,,,,,Od,Og,Ol,Of,Dd,De,Dk,Dc,Ca,Cf,Cg,Ch",,3,334,0,bapjeri#1517,0,1,0,1,0,0
