Ligue,Poule,Pseudo,Pseudo Discord,Faction,Format,Nombre d'activation,Nombre de points,Lien Armée,Lien Armée 2,SoS,sumKP,sumPV,playerPlayed,victory,defeat,egality,nbMatchPlayed,points,pointsSeparation
Alderaan,B,neffyl,neffyl#6276,,,,,"https://legionhq.thefifthtrooper.com/list/rebels/1binz0,1qycw0,1vdnddtpsne,2ahiujo00li,1ah0eu00,2qzrgrjro0,2aleg0000,,,,,,,Ob,Oc,Og,Of,Da,Dd,De,Dk,Ca,Cb,Cf,Cg",,0.75,310,14,"🇫🇷 Sultain #4827,Minuee#7200",2,0,0,2,6,6
Alderaan,B,Merou,Minuee#7200,,,,,"https://legionhq.thefifthtrooper.com/list/empire/1arcw0,1ar0hy,5ayja0dc0,1onorkt0,1fndtdypsne,,,,,,,Om,Og,Ob,Od,Da,Db,Dl,Dc,Cd,Ca,Cb,Cg",,1.5,700,8,"🇫🇷 Sultain #4827,neffyl#6276",1,1,0,2,3,3
Alderaan,B,Unholy,Unholy#8428,,,,,"https://legionhq.thefifthtrooper.com/list/separatists/si:1nrikdphy,1gckvknkuhz,2gxhrof00,1gxiwof00,2gxiwhn00,3gxhohn00,,,,,,,Ob,Oc,Om,Of,Da,Dd,De,Dk,Cb,Cf,Cg,Cd",,0.0,562,2,🇫🇷 Sultain #4827,1,0,0,1,3,3
Alderaan,B,Sultain,🇫🇷 Sultain #4827,,,,,"https://legionhq.thefifthtrooper.com/list/empire/1aucwrf0,1awdgruqj0uh,1tidg00,1azmf000,2bf0,1bfsf,2ayjajqdc00,,,,,,,Oa,Of,Ol,Om,Dc,Dd,Dk,Dm,Cb,Cd,Cf,Cc",,2.5,605,4,"Unholy#8428,Minuee#7200,neffyl#6276",0,3,0,3,0,0
