Ligue,Poule,Pseudo,Pseudo Discord,Faction,Format,Nombre d'activation,Nombre de points,Lien Armée,Lien Armée 2,SoS,sumKP,sumPV,playerPlayed,victory,defeat,egality,nbMatchPlayed,points,pointsSeparation
Coruscant,B,Nostrus,Nostrus#1537,,,,,"https://legionhq.thefifthtrooper.com/list/separatists/1nrcw00,1utdtpqpsne,1axdg0dc,1gx0000,2gx0of00,2pxqd0000,1pxqc0000,,,,,,,Od,Og,Ob,Of,Da,Dm,Db,De,Ca,Cb,Cf,Cg",,1.5,700,4,Raz#7587,1,0,0,1,3,4
Coruscant,B,Raz,Raz#7587,,,,,"https://legionhq.thefifthtrooper.com/list/separatists/1nr000,1nbdtdumsdf,1nk0,1gx0000,5gakpmq0,,,,,,,Ob,Od,Of,Om,De,Dl,Da,Db,Cd,Cf,Cg,Ca",,1.5,544,6,"TotoLAsticot#9837,Nostrus#1537",1,1,0,2,3,3
Coruscant,B,Totolasticot,TotoLAsticot#9837,,,,,"https://legionhq.thefifthtrooper.com/list/republic/1ueik00,1nscw00,1kw0ne0lm,1jh0,1gyix0da0,1gyix000,1gylg0da0,1mbfedp,2qhqisf,,,,,,,Oa,Oc,Ol,Om,Da,Db,Dc,De,Cb,Cf,Ch,Cg",,1.5,283,1,Raz#7587,0,1,0,1,0,0
Coruscant,B,bouffy,Bouffy#6218,,,,,"https://legionhq.thefifthtrooper.com/list/separatists/1nrcz00,1fxpqdtduik,1utpqdtpsdf,3gxiw000,2gx0og00,1gx0000,,,,,,,Om,Og,Ob,Od,Da,De,Dl,Dm,Cc,Cg,Cb,Ch",,0.0,0,0,,0,0,0,0,0,0
